source,intermediate,processed,notes
dataset/raw/DLFrameBRCode_PyTorch/reports,dataset/interim/bug_selection,experiment/EXP006_historical_bug_pattern_dataset/bug_reports,High-level lineage; a complete one-to-one mapping is not yet available
dataset/raw/DLFrameBRCode_PyTorch/reproduction_code,dataset/interim/bug_selection,experiment/EXP006_historical_bug_pattern_dataset/bug_reports,Reproduction code supports report selection and structuring; high-level lineage only
experiment/EXP006_historical_bug_pattern_dataset/bug_reports,experiment/EXP006_historical_bug_pattern_dataset/schemas/report_to_pattern_mapping.md,experiment/EXP006_historical_bug_pattern_dataset/bug_patterns,Transformation is documented by the report-to-pattern mapping rules
experiment/EXP006_historical_bug_pattern_dataset/bug_patterns,experiment/EXP006_historical_bug_pattern_dataset/schemas/pattern_to_knowledge_rules.md,experiment/EXP006_historical_bug_pattern_dataset/knowledge_base,Transformation is documented by the pattern-to-knowledge rules
dataset/raw/exp006_matmul_reports,experiment/EXP006_historical_bug_pattern_dataset/manual_patterns,experiment/EXP006_historical_bug_pattern_dataset/manual_knowledge_examples,Manual torch.matmul examples retained for validation
