api,rounds,invalid,valid,validity_ratio
torch.add,201886,111832,90054,0.446064
torch.addmm,50496,20420,30076,0.595612
torch.exp,400956,177494,223462,0.557323
torch.matmul,116326,191058,0,0.000000
torch.mm,222084,261614,0,0.000000
torch.mul,66580,12840,53740,0.807149
torch.relu,395148,183420,211728,0.535819
torch.sigmoid,473836,179456,294380,0.621270
torch.softmax,569895,285888,284007,0.498350
torch.tanh,351935,333786,18149,0.051569
