time,baseline,single_pattern,multi_pattern,reasoning_pattern
60,1.77,1.75,1.96,1.94
120,1.77,1.76,2.00,1.95
180,1.77,1.76,2.00,1.95
240,1.78,1.76,2.01,1.99
300,1.79,1.76,2.01,1.99
360,1.82,1.77,2.01,2.01
420,1.82,1.76,2.01,2.01
480,1.82,1.77,2.04,2.02
540,1.82,1.76,2.04,2.02
600,1.82,1.77,2.04,2.02
